# R2 calibration run — HTTP + Postgres SELECT FOR UPDATE, two regimes
# date: 2026-08-11
# host: macOS-26.5.2-arm64-arm-64bit, arm64, Python 3.10.11
# harness: tools/calibrate_r2.py (full: 20 reps, 2.0s per level), server: tools/r2_server.py
# engine: PostgreSQL 17.10 (Homebrew, throwaway local instance, max_connections=450), psycopg 3
# STEADY regime excludes each worker's first post-T0 request;
# CONVOY regime is exactly those first requests (synchronized start).
# sharded8 mode: same offered concurrency spread over 8 rows, not 1.
concurrency,rep,mode,steady_thr_ops_s,steady_n,steady_p50_ms,steady_p95_ms,steady_p99_ms,convoy_p50_ms,convoy_p95_ms,convoy_p99_ms,convoy_max_ms,errors
256,7,hot,1514.5,3029,109.364,464.977,775.874,155.391,510.433,634.717,830.744,0
256,8,hot,1534.0,3068,112.184,466.746,686.850,151.291,533.816,787.773,870.221,0
256,9,hot,1521.0,3042,112.668,462.367,696.438,155.050,527.296,981.036,1376.433,0
256,10,hot,1567.0,3134,111.302,443.792,670.972,158.303,539.540,718.482,840.473,0
256,11,hot,1544.5,3089,111.520,451.223,700.335,159.639,492.834,837.096,1486.078,0
256,12,hot,1535.0,3070,112.835,459.523,714.003,153.619,569.117,842.712,1249.117,0
256,13,hot,1545.5,3091,110.615,450.091,660.128,156.868,509.800,696.286,945.601,0
256,14,hot,1529.5,3059,113.733,453.954,712.144,152.535,484.714,797.425,929.112,0
256,15,hot,1536.5,3073,112.602,447.686,727.757,155.160,532.164,789.707,867.042,0
256,16,hot,1556.5,3113,113.478,436.588,699.936,150.848,521.787,724.548,852.737,0
256,17,hot,1537.0,3074,113.190,457.164,671.736,158.806,480.422,561.958,1198.271,0
256,18,hot,1552.0,3104,112.894,464.441,685.205,147.035,503.054,714.178,768.939,0
256,19,hot,1559.5,3119,112.003,454.127,662.753,157.559,580.426,764.286,1098.186,0
64,0,sharded8,2539.0,5078,23.042,47.308,58.688,24.722,48.015,56.543,56.543,0
64,1,sharded8,2533.5,5067,23.391,47.537,58.610,26.478,53.833,77.312,77.312,0
64,2,sharded8,2547.5,5095,23.493,46.872,60.530,26.717,53.294,67.461,67.461,0
